GAME,STADIUM,DATE,TIME,AWAY TEAM,SCORE_A,HOME TEAM,SCORE_H,W,YEAR
1,桃園,2020-07-12,17:05,中信兄弟,3.0,樂天,4.0,樂天,2020
2,桃園,2020-07-19,17:05,富邦,3.0,樂天,14.0,樂天,2020
3,洲際,2020-04-12,17:05,統一7-ELEVEn,4.0,中信兄弟,1.0,統一7-ELEVEn,2020
4,洲際,2020-04-14,18:35,富邦,3.0,中信兄弟,1.0,富邦,2020
5,洲際,2020-04-15,18:35,富邦,7.0,中信兄弟,6.0,富邦,2020
6,桃園,2020-04-15,18:35,統一7-ELEVEn,8.0,樂天,9.0,樂天,2020
7,桃園,2020-04-16,18:35,統一7-ELEVEn,3.0,樂天,15.0,樂天,2020
8,洲際,2020-04-17,18:35,統一7-ELEVEn,1.0,中信兄弟,6.0,中信兄弟,2020
9,桃園,2020-04-17,18:35,富邦,10.0,樂天,11.0,樂天,2020
10,洲際,2020-04-18,17:05,統一7-ELEVEn,2.0,中信兄弟,6.0,中信兄弟,2020
11,桃園,2020-04-18,17:05,富邦,9.0,樂天,12.0,樂天,2020
12,洲際,2020-04-19,17:05,統一7-ELEVEn,7.0,中信兄弟,4.0,統一7-ELEVEn,2020
13,桃園,2020-04-19,17:05,富邦,1.0,樂天,3.0,樂天,2020
14,新莊,2020-04-21,18:35,統一7-ELEVEn,2.0,富邦,13.0,富邦,2020
15,新莊,2020-04-22,18:35,統一7-ELEVEn,9.0,富邦,5.0,統一7-ELEVEn,2020
16,洲際,2020-04-22,18:35,樂天,3.0,中信兄弟,2.0,樂天,2020
17,洲際,2020-07-08,18:35,樂天,6.0,中信兄弟,5.0,樂天,2020
18,新莊,2020-04-24,18:35,中信兄弟,11.0,富邦,0.0,中信兄弟,2020
19,台南,2020-04-24,18:35,樂天,14.0,統一7-ELEVEn,4.0,樂天,2020
20,新莊,2020-04-25,17:05,中信兄弟,6.0,富邦,5.0,中信兄弟,2020
21,台南,2020-04-25,17:05,樂天,7.0,統一7-ELEVEn,8.0,統一7-ELEVEn,2020
22,新莊,2020-04-26,17:05,中信兄弟,4.0,富邦,5.0,富邦,2020
23,台南,2020-04-26,17:05,樂天,5.0,統一7-ELEVEn,12.0,統一7-ELEVEn,2020
24,新莊,2020-04-28,18:35,樂天,3.0,富邦,0.0,樂天,2020
25,新莊,2020-04-29,18:35,樂天,5.0,富邦,3.0,樂天,2020
26,台南,2020-04-29,18:35,中信兄弟,9.0,統一7-ELEVEn,8.0,中信兄弟,2020
27,台南,2020-04-30,18:35,中信兄弟,6.0,統一7-ELEVEn,12.0,統一7-ELEVEn,2020
28,桃園,2020-05-01,18:35,中信兄弟,10.0,樂天,8.0,中信兄弟,2020
29,台南,2020-05-01,18:35,富邦,6.0,統一7-ELEVEn,15.0,統一7-ELEVEn,2020
30,桃園,2020-05-02,17:05,中信兄弟,11.0,樂天,16.0,樂天,2020
31,台南,2020-05-02,17:05,富邦,11.0,統一7-ELEVEn,2.0,富邦,2020
32,桃園,2020-05-03,17:05,中信兄弟,3.0,樂天,9.0,樂天,2020
33,台南,2020-05-03,17:05,富邦,12.0,統一7-ELEVEn,7.0,富邦,2020
34,洲際,2020-05-05,18:35,統一7-ELEVEn,5.0,中信兄弟,8.0,中信兄弟,2020
35,洲際,2020-05-06,18:35,統一7-ELEVEn,8.0,中信兄弟,18.0,中信兄弟,2020
36,桃園,2020-05-07,18:35,富邦,6.0,樂天,15.0,樂天,2020
37,洲際,2020-05-08,18:35,樂天,4.0,中信兄弟,6.0,中信兄弟,2020
38,新莊,2020-05-08,18:35,統一7-ELEVEn,6.0,富邦,7.0,富邦,2020
39,洲際,2020-05-09,17:05,樂天,6.0,中信兄弟,3.0,樂天,2020
40,新莊,2020-05-09,17:05,統一7-ELEVEn,4.0,富邦,7.0,富邦,2020
41,洲際,2020-05-10,17:05,樂天,5.0,中信兄弟,4.0,樂天,2020
42,新莊,2020-05-10,17:05,統一7-ELEVEn,10.0,富邦,2.0,統一7-ELEVEn,2020
43,台南,2020-05-12,18:35,樂天,17.0,統一7-ELEVEn,10.0,樂天,2020
44,台南,2020-05-13,18:35,樂天,11.0,統一7-ELEVEn,15.0,統一7-ELEVEn,2020
45,新莊,2020-05-13,18:35,中信兄弟,3.0,富邦,9.0,富邦,2020
46,新莊,2020-05-14,18:35,中信兄弟,11.0,富邦,5.0,中信兄弟,2020
47,台南,2020-05-15,18:35,中信兄弟,1.0,統一7-ELEVEn,2.0,統一7-ELEVEn,2020
48,新莊,2020-05-15,18:35,樂天,7.0,富邦,6.0,樂天,2020
49,台南,2020-05-16,17:05,中信兄弟,9.0,統一7-ELEVEn,2.0,中信兄弟,2020
50,新莊,2020-07-18,17:05,樂天,6.0,富邦,12.0,富邦,2020
