NM,DATE(GAME),OPP,PA,AB,RBI,R,H,2B,3B,HR,TB,SO,SB,CS,AVG,SAC,SF,BB,IBB,HBP,GIDP,TP,LOB,PO,A,DP,TP2,E,CS2,PB,DATE,GAME
陳子豪,04/12(3),統一7-ELEVEn,5,4,0,0,0,0.0,0.0,0.0,0.0,1,0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2020-04-12,3
蘇緯達,04/12(3),統一7-ELEVEn,3,2,0,0,0,0.0,0.0,0.0,0.0,0,1,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2020-04-12,3
唐肇廷,04/12(3),中信兄弟,1,1,0,1,1,0.0,0.0,0.0,1.0,0,0,0.0,1.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2020-04-12,3
林安可,04/12(3),中信兄弟,6,5,0,0,1,0.0,0.0,0.0,1.0,2,0,0.0,0.2,0.0,0.0,1,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2020-04-12,3
潘傑楷,04/12(3),中信兄弟,2,2,0,0,0,0.0,0.0,0.0,0.0,1,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2020-04-12,3
楊家維,04/12(3),中信兄弟,1,1,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2020-04-12,3
許基宏,04/12(3),統一7-ELEVEn,5,3,0,0,0,0.0,0.0,0.0,0.0,1,0,0.0,0.0,0.0,0.0,1,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2020-04-12,3
高國慶,04/12(3),中信兄弟,3,3,0,0,0,0.0,0.0,0.0,0.0,2,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2020-04-12,3
陳傑憲,04/12(3),中信兄弟,6,5,1,1,1,1.0,0.0,0.0,2.0,2,0,0.0,0.2,0.0,0.0,1,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2020-04-12,3
周思齊,04/12(3),統一7-ELEVEn,1,1,0,0,0,0.0,0.0,0.0,0.0,1,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2020-04-12,3
