y,y_pred,y_p,y_p_pred,GAME NO.,STADIUM,DATE,TIME,AWAY TEAM,SCORE_A,HOME TEAM,SCORE_H,W,YEAR,Y_1,Y_2,A_WIN,A_SCORE,A_LOSE,H_WIN,H_SCORE,H_LOSE,H_WIN_VS,H_SCORE_VS,H_LOSE_VS,A_WIN_7,A_SCORE_7,A_LOSE_7,H_WIN_7,H_SCORE_7,H_LOSE_7,H_WIN_VS_60,H_SCORE_VS_60,H_LOSE_VS_60,GAME,A1,A2,A3,A4,A5,A6,A7,A8,A9,H1,H2,H3,H4,H5,H6,H7,H8,H9,AP,HP,A1_H_BB,A1_PA,A1_RBI,A2_H_BB,A2_PA,A2_RBI,A3_H_BB,A3_PA,A3_RBI,A4_H_BB,A4_PA,A4_RBI,A5_H_BB,A5_PA,A5_RBI,A6_H_BB,A6_PA,A6_RBI,A7_H_BB,A7_PA,A7_RBI,A8_H_BB,A8_PA,A8_RBI,A9_H_BB,A9_PA,A9_RBI,H1_H_BB,H1_PA,H1_RBI,H2_H_BB,H2_PA,H2_RBI,H3_H_BB,H3_PA,H3_RBI,H4_H_BB,H4_PA,H4_RBI,H5_H_BB,H5_PA,H5_RBI,H6_H_BB,H6_PA,H6_RBI,H7_H_BB,H7_PA,H7_RBI,H8_H_BB,H8_PA,H8_RBI,H9_H_BB,H9_PA,H9_RBI,A1_H_BB_30,A1_PA_30,A1_RBI_30,A2_H_BB_30,A2_PA_30,A2_RBI_30,A3_H_BB_30,A3_PA_30,A3_RBI_30,A4_H_BB_30,A4_PA_30,A4_RBI_30,A5_H_BB_30,A5_PA_30,A5_RBI_30,A6_H_BB_30,A6_PA_30,A6_RBI_30,A7_H_BB_30,A7_PA_30,A7_RBI_30,A8_H_BB_30,A8_PA_30,A8_RBI_30,A9_H_BB_30,A9_PA_30,A9_RBI_30,H1_H_BB_30,H1_PA_30,H1_RBI_30,H2_H_BB_30,H2_PA_30,H2_RBI_30,H3_H_BB_30,H3_PA_30,H3_RBI_30,H4_H_BB_30,H4_PA_30,H4_RBI_30,H5_H_BB_30,H5_PA_30,H5_RBI_30,H6_H_BB_30,H6_PA_30,H6_RBI_30,H7_H_BB_30,H7_PA_30,H7_RBI_30,H8_H_BB_30,H8_PA_30,H8_RBI_30,H9_H_BB_30,H9_PA_30,H9_RBI_30,AP_ERA,AP_PER_IP,AP_WHIP_HR,AP_SO,HP_ERA,HP_PER_IP,HP_WHIP_HR,HP_SO,AP_ERA_30,AP_PER_IP_30,AP_WHIP_HR_30,AP_SO_30,HP_ERA_30,HP_PER_IP_30,HP_WHIP_HR_30,HP_SO_30,A1_H_BB_VS,A1_PA_VS,A1_BSO_VS,A2_H_BB_VS,A2_PA_VS,A2_BSO_VS,A3_H_BB_VS,A3_PA_VS,A3_BSO_VS,A4_H_BB_VS,A4_PA_VS,A4_BSO_VS,A5_H_BB_VS,A5_PA_VS,A5_BSO_VS,A6_H_BB_VS,A6_PA_VS,A6_BSO_VS,A7_H_BB_VS,A7_PA_VS,A7_BSO_VS,A8_H_BB_VS,A8_PA_VS,A8_BSO_VS,A9_H_BB_VS,A9_PA_VS,A9_BSO_VS,H1_H_BB_VS,H1_PA_VS,H1_BSO_VS,H2_H_BB_VS,H2_PA_VS,H2_BSO_VS,H3_H_BB_VS,H3_PA_VS,H3_BSO_VS,H4_H_BB_VS,H4_PA_VS,H4_BSO_VS,H5_H_BB_VS,H5_PA_VS,H5_BSO_VS,H6_H_BB_VS,H6_PA_VS,H6_BSO_VS,H7_H_BB_VS,H7_PA_VS,H7_BSO_VS,H8_H_BB_VS,H8_PA_VS,H8_BSO_VS,H9_H_BB_VS,H9_PA_VS,H9_BSO_VS,H-A_WIN,H-A_SCORE,H-A_LOSE,H-A_WIN_7,H-A_SCORE_7,H-A_LOSE_7,A_OBP_16,A_OBP_79,A_RBI_46,H_OBP_16,H_OBP_79,H_RBI_46,A_PA_16,A_PA_79,H_PA_16,H_PA_79,A_OBP_16_30,A_OBP_79_30,A_RBI_46_30,H_OBP_16_30,H_OBP_79_30,H_RBI_46_30,A_PA_16_30,A_PA_79_30,H_PA_16_30,H_PA_79_30,A_OBP_16_VS,A_OBP_79_VS,H_OBP_16_VS,H_OBP_79_VS,A_BSO_16_VS,A_BSO_79_VS,H_BSO_16_VS,H_BSO_79_VS,VS_OBP_16,VS_OBP_79,VS_RBI_46,VS_PA_16,VS_PA_79,VS_OBP_16_VS,VS_OBP_79_VS,VS_BSO_16_VS,VS_BSO_79_VS,VS_ERA,VS_PER_IP,VS_WHIP_HR,VS_SO
1,0.7602645570847087,1,0.7376364441011298,20,天母,2014-04-05,17:03,中信兄弟,1,義大,2,義大,2014,1,1,0.5,2.0,1.0,0.4,4.0,2.5,0.3333333333333333,1.0,2.0,0.5,1.0,1.0,0.4,5.0,2.0,0.3333333333333333,1.0,2.0,20,張正偉,張志豪,周思齊,彭政閔,羅培茲,林威助,陳家駒,徐睿擇,王勝偉,林宗男,胡金龍,林益全,李那瑞,張建銘,鄭兆行,陳凱倫,方克偉,林威廷,陳鴻文,林晨樺,6,22,0,5,20,0,5,17,1,6,21,1,2,7,1,4,21,0,0,6,0,1,4,0,1,6,1,2,6,1,6,23,1,4,23,4,6,22,1,5,22,2,2,7,0,8,22,3,7,14,4,5,18,3,14,39,2,12,37,4,9,33,3,11,37,2,5,24,1,7,36,3,0,6,0,1,4,0,3,21,1,4,9,1,16,48,2,9,46,7,13,44,3,13,44,5,3,17,0,13,44,5,7,17,4,10,32,4,0.8181818181818182,5.5,1.0,6.545454545454546,6.3,5.0,2.4,3.6,0.8181818181818182,5.5,1.0,6.545454545454546,6.3,5.0,2.4,3.6,0,4,1,2,3,0,0,3,1,1,3,0,0,3,0,0,3,0,0,0,0,0,0,0,0,3,1,4,11,3,5,16,3,6,18,2,0,0,0,3,14,1,3,8,1,1,7,0,0,1,0,0,0,0,-0.09999999999999998,2.0,1.5,-0.09999999999999998,4.0,1.0,0.25925925925925924,0.125,0.04081632653061224,0.24271844660194175,0.37037037037037035,0.058823529411764705,108,16,103,54,0.2815533980582524,0.12903225806451613,0.061855670103092786,0.27884615384615385,0.3225806451612903,0.0761904761904762,206,31,208,93,0.15789473684210525,0.0,0.31343283582089554,0.125,0.10526315789473684,0.3333333333333333,0.14925373134328357,0.0,0,1,1,0,1,1,1,1,0,1,0,1,0
0,0.5681140478356648,-4,0.6205443745515578,23,桃園,2014-04-06,17:05,統一7-ELEVEn,6,Lamigo,2,統一7-ELEVEn,2014,0,-4,0.3333333333333333,1.5,3.5,0.7,4.5,3.5,0.75,4.5,2.5,0.5,4.0,3.0,0.6666666666666666,4.0,2.5,0.75,4.5,2.5,23,劉芙豪,郭俊佑,郭岱琦,鄧志偉,張泰山,黃恩賜,劉育辰,凃壯勳,周廣勝,詹智堯,林智平,林智勝,林泓育,陳冠任,鍾承祐,郭嚴文,陳雁風,黃浩然,廖文揚,正田樹,8,25,3,2,8,0,7,13,3,7,24,5,1,5,0,6,7,0,5,13,0,1,8,0,4,20,1,8,29,2,3,20,0,12,28,4,7,25,1,7,18,4,4,16,2,7,18,0,1,4,1,8,18,3,15,50,7,4,20,0,10,27,5,18,48,6,2,13,1,11,26,1,5,14,0,1,11,0,6,30,1,17,49,3,8,35,1,20,48,6,16,45,8,8,26,5,9,33,3,12,35,3,1,4,1,9,28,4,3.8571428571428568,7.0,1.4285714285714286,5.142857142857143,0.7377049180327869,6.1,1.475409836065574,7.377049180327869,3.8571428571428568,7.0,1.4285714285714286,5.142857142857143,0.7377049180327869,6.1,1.475409836065574,7.377049180327869,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,11,2,4,13,1,2,5,1,3,9,0,0,0,0,5,11,1,2,9,0,0,2,1,1,7,0,0.36666666666666664,3.0,0.0,0.16666666666666663,0.0,-0.5,0.3780487804878049,0.24390243902439024,0.1388888888888889,0.3014705882352941,0.4,0.11864406779661017,82,41,136,40,0.32608695652173914,0.21818181818181817,0.09195402298850575,0.3305084745762712,0.3283582089552239,0.15384615384615385,184,55,236,67,,,0.3673469387755102,0.16666666666666666,,,0.10204081632653061,0.05555555555555555,0,1,0,1,0,0,0,0,0,0,0,1,1
1,0.5240611663759065,1,-0.22704484237386233,22,天母,2014-04-06,17:03,中信兄弟,2,義大,3,義大,2014,1,1,0.4444444444444444,2.0,1.5,0.5,3.5,2.0,0.5,1.5,2.0,0.4,1.0,1.5,0.4,2.0,2.0,0.5,1.5,2.0,22,張正偉,郭健瑜,周思齊,彭政閔,林威助,黃仕豪,陳智弘,徐睿擇,王勝偉,鄭達鴻,林宗男,胡金龍,林益全,李那瑞,張建銘,陳凱倫,林琨笙,林威廷,林煜清,黃勝雄,7,28,0,3,11,1,6,22,1,8,26,1,6,26,0,0,0,0,0,3,0,1,6,0,4,11,1,5,14,0,2,11,0,8,23,1,5,23,4,5,23,1,3,23,2,7,23,3,0,0,0,6,18,2,15,45,2,4,12,1,10,38,3,13,42,2,9,41,3,0,0,0,1,9,0,1,6,0,6,26,1,14,43,3,5,15,1,19,54,2,12,52,7,14,50,3,13,50,5,15,50,6,0,0,0,13,36,5,1.125,8.0,0.875,6.75,1.2676056338028172,4.733333333333333,1.1971830985915493,5.704225352112676,1.125,8.0,0.875,6.75,1.2676056338028172,4.733333333333333,1.1971830985915493,5.704225352112676,3,4,0,0,0,0,1,3,0,1,3,1,0,2,0,1,3,0,0,1,0,0,0,0,0,3,0,6,18,2,9,14,0,12,29,1,6,24,4,0,0,0,4,19,6,6,13,1,5,10,2,0,0,0,0.05555555555555558,1.5,0.5,0.0,1.0,0.5,0.26548672566371684,0.25,0.019230769230769232,0.23931623931623933,0.3170731707317073,0.10144927536231885,113,20,117,41,0.28651685393258425,0.1951219512195122,0.060240963855421686,0.2916666666666667,0.32558139534883723,0.09868421052631579,178,41,264,86,0.4,0.0,0.3557692307692308,0.4782608695652174,0.06666666666666667,0.0,0.125,0.13043478260869565,0,1,1,1,1,0,1,1,1,1,0,1,0
0,0.6545448062189757,-2,0.9411857565413214,24,澄清湖,2014-04-08,18:31,統一7-ELEVEn,9,義大,7,統一7-ELEVEn,2014,0,-2,0.4444444444444444,3.0,3.5,0.6,3.5,2.0,0.5,4.5,5.0,0.5,4.0,2.0,0.6,2.0,2.0,0.5,4.5,5.0,24,林志祥,劉芙豪,郭岱琦,鄧志偉,陳鏞基,張泰山,郭俊佑,陳俊輝,黃恩賜,鄭達鴻,林宗男,胡金龍,林益全,李那瑞,張建銘,陳凱倫,林琨笙,林威廷,馬帝斯,希克,0,0,0,7,25,1,4,13,3,6,21,3,7,18,2,2,9,1,3,11,0,0,3,0,7,11,2,6,15,0,6,15,2,8,23,1,6,23,2,6,23,2,2,23,2,5,23,1,0,0,0,7,19,2,0,0,0,16,55,7,11,31,6,19,50,6,15,45,8,3,17,2,5,24,0,0,3,0,12,30,3,17,48,3,9,20,3,20,58,2,14,56,7,16,54,4,13,54,5,15,54,6,0,0,0,14,40,5,2.4107142857142865,5.6,1.4285714285714286,6.428571428571429,0.6428571428571429,7.0,0.6428571428571429,12.214285714285715,2.4107142857142865,5.6,1.4285714285714286,6.428571428571429,2.647058823529412,5.666666666666668,0.9411764705882352,11.117647058823529,3,14,3,4,14,0,0,2,1,9,21,4,6,18,4,6,20,5,2,10,1,0,2,0,1,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.15555555555555556,0.5,-1.5,0.09999999999999998,-2.0,0.0,0.3023255813953488,0.4,0.125,0.2786885245901639,0.2857142857142857,0.08695652173913043,86,25,122,42,0.32323232323232326,0.2982456140350877,0.14285714285714285,0.30689655172413793,0.30851063829787234,0.0975609756097561,198,57,290,94,0.3146067415730337,0.1875,,,0.19101123595505617,0.125,,,0,0,0,1,1,0,0,0,0,0,1,0,1
1,0.7745324167878394,1,0.5901193879595411,25,桃園,2014-04-09,18:36,中信兄弟,1,Lamigo,2,Lamigo,2014,1,1,0.25,2.0,3.0,0.6,4.0,4.0,0.6666666666666666,5.0,4.0,0.25,1.0,2.0,0.75,2.5,3.5,0.6666666666666666,5.0,4.0,25,張正偉,郭健瑜,周思齊,彭政閔,張志豪,黃仕豪,陳家駒,陳江和,王勝偉,詹智堯,林智平,林智勝,林泓育,陳冠任,郭嚴文,鍾承祐,陳雁風,黃浩然,鄭凱文,曾孟承,8,24,1,2,10,1,5,22,1,4,22,0,5,17,0,0,0,0,1,12,0,0,0,0,6,9,1,6,20,1,5,19,0,7,19,3,6,16,1,4,14,2,7,13,0,4,14,2,1,6,1,5,13,2,18,49,3,5,16,1,10,42,3,14,46,2,13,42,4,0,0,0,1,12,0,2,7,0,9,30,2,19,54,3,10,39,1,21,52,8,17,49,8,8,30,5,14,39,3,10,36,3,1,7,1,10,31,4,0.5625,8.0,0.875,7.875,3.8571428571428568,7.0,1.5714285714285714,1.2857142857142858,0.5625,8.0,0.875,7.875,3.8571428571428568,7.0,1.5714285714285714,1.2857142857142858,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.35,2.0,1.0,0.5,1.5,1.5,0.25263157894736843,0.3333333333333333,0.0,0.3465346534653465,0.30303030303030304,0.06976744186046512,95,21,101,33,0.3076923076923077,0.24489795918367346,0.06818181818181818,0.33840304182509506,0.28378378378378377,0.13559322033898305,195,49,263,74,,,,,,,,,1,0,1,1,1,0,0,0,0,1,0,1,0
0,0.681011864410202,-4,0.975796285456211,26,澄清湖,2014-04-10,18:33,統一7-ELEVEn,5,義大,1,統一7-ELEVEn,2014,0,-4,0.5555555555555556,4.0,3.5,0.6,4.5,2.0,0.4,5.0,8.0,0.6,6.0,3.0,0.4,2.0,2.0,0.4,5.0,8.0,26,林志祥,劉芙豪,潘武雄,鄧志偉,陳鏞基,張泰山,黃恩賜,陳俊輝,唐肇廷,鄭達鴻,林宗男,胡金龍,林益全,李那瑞,張詠漢,陳凱倫,林琨笙,林威廷,費古洛,偉克,2,5,3,9,24,1,5,12,2,4,20,2,11,18,3,3,13,1,7,15,3,2,7,3,2,9,0,6,20,1,8,16,3,4,24,0,7,24,0,6,24,2,1,3,0,5,23,1,0,0,0,8,19,4,2,5,3,18,60,7,6,22,2,20,55,6,20,50,9,4,22,2,12,34,4,2,7,3,9,34,0,17,53,4,12,25,4,20,63,2,16,61,7,18,59,5,2,11,0,16,58,6,0,0,0,16,44,7,5.4,5.0,2.7,4.5,3.0,6.0,1.0,9.0,4.235294117647058,5.666666666666668,2.235294117647059,5.294117647058823,1.6363636363636365,5.5,1.0909090909090908,8.181818181818182,0,0,0,1,3,0,0,0,0,1,3,1,0,2,1,0,2,0,0,2,2,0,0,0,1,3,0,1,2,0,2,6,1,0,6,1,2,8,0,0,3,0,0,0,0,4,8,0,0,5,0,2,3,0,0.0444444444444444,0.5,-1.5,-0.19999999999999996,-4.0,-1.0,0.3695652173913043,0.3548387096774194,0.11764705882352941,0.2882882882882883,0.30952380952380953,0.0392156862745098,92,31,111,42,0.32710280373831774,0.30666666666666664,0.13385826771653545,0.3125,0.3137254901960784,0.0916030534351145,214,75,272,102,0.2,0.2,0.2,0.375,0.2,0.4,0.08,0.0,0,0,0,1,1,0,1,0,0,0,1,0,1
1,0.7019962741105139,4,0.9314753450499005,27,桃園,2014-04-10,18:37,中信兄弟,2,Lamigo,6,Lamigo,2014,1,4,0.2222222222222222,1.5,2.5,0.6,3.0,4.0,0.75,3.5,2.5,0.2,1.0,2.0,0.8,2.0,1.0,0.75,3.5,2.5,27,張正偉,郭健瑜,林威助,彭政閔,張志豪,黃仕豪,陳家駒,陳江和,王勝偉,詹智堯,林智平,林智勝,林泓育,陳冠任,郭嚴文,郭修延,藍寅倫,黃浩然,林恩宇,銳,6,23,1,2,13,1,6,19,0,6,21,0,3,15,0,0,0,0,2,16,1,0,4,0,8,13,1,7,24,1,6,23,0,9,23,4,7,20,1,5,18,2,9,17,0,2,9,0,1,5,1,5,15,2,19,54,3,5,20,1,10,47,3,16,50,2,14,46,4,0,0,0,2,16,1,2,11,0,11,34,2,20,58,3,11,43,1,23,56,9,18,53,8,9,34,5,16,43,3,3,16,0,5,18,3,10,33,4,10.5,3.0,2.0,10.5,0.8181818181818182,5.5,1.0,6.545454545454546,10.5,3.0,2.0,10.5,0.8181818181818182,5.5,1.0,6.545454545454546,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,13,1,4,12,0,3,9,2,3,9,2,2,6,0,4,11,1,5,6,0,0,0,0,2,9,2,0.37777777777777777,1.5,1.5,0.6000000000000001,1.0,-1.0,0.25274725274725274,0.30303030303030304,0.0,0.344,0.27586206896551724,0.05454545454545454,91,33,125,29,0.29493087557603687,0.2459016393442623,0.0625,0.33797909407665505,0.26865671641791045,0.12307692307692308,217,61,287,67,,,0.31666666666666665,0.4666666666666667,,,0.1,0.13333333333333333,1,0,1,1,0,0,0,0,0,0,1,0,0
1,0.7489015321220918,1,0.8485394019710448,28,新莊,2014-04-11,18:34,中信兄弟,8,統一7-ELEVEn,9,統一7-ELEVEn,2014,1,1,0.2222222222222222,1.5,2.5,0.5555555555555556,4.5,3.5,0.5,1.0,1.0,0.2,2.0,2.0,0.6,6.0,3.0,0.5,1.0,1.0,28,張正偉,張志豪,林威助,彭政閔,周思齊,黃仕豪,陳智弘,陳江和,王勝偉,林志祥,劉芙豪,潘武雄,鄧志偉,陳鏞基,郭岱琦,黃恩賜,凃壯勳,郭俊佑,增菘瑋,羅錦龍,5,23,1,3,13,0,6,19,0,8,21,2,5,17,1,0,0,0,0,3,0,0,7,0,8,16,1,4,10,3,10,23,1,5,12,4,4,20,2,9,18,2,4,13,3,8,19,3,2,7,0,4,15,0,19,58,3,14,48,4,12,51,3,18,54,4,12,46,3,0,0,0,1,12,0,2,14,0,11,37,2,4,10,3,20,64,7,8,27,5,21,59,7,21,54,9,12,35,6,13,38,4,3,15,0,7,30,0,3.2142857142857144,5.6,1.517857142857143,2.4107142857142865,1.5,9.0,0.8333333333333334,4.5,3.2142857142857144,5.6,1.517857142857143,2.4107142857142865,2.625,8.0,0.9166666666666666,3.75,1,4,0,0,4,2,2,4,1,0,4,0,1,4,0,0,4,1,0,0,0,0,0,0,0,0,0,5,18,1,6,15,2,9,24,1,7,24,0,8,21,3,3,5,0,5,8,0,1,3,0,4,9,3,0.33333333333333337,3.0,1.0,0.39999999999999997,4.0,1.0,0.2903225806451613,0.3076923076923077,0.07894736842105263,0.375,0.34146341463414637,0.13725490196078433,93,26,96,41,0.2918287937743191,0.2222222222222222,0.07,0.3453815261044177,0.27710843373493976,0.14864864864864866,257,63,249,83,0.16666666666666666,,0.35514018691588783,0.5,0.16666666666666666,,0.06542056074766354,0.15,1,1,1,1,1,1,0,0,0,0,1,0,1
1,0.6835910137990853,4,1.4019923021315142,29,桃園,2014-04-11,18:38,義大,5,Lamigo,9,Lamigo,2014,1,4,0.5,3.5,2.0,0.7,4.0,3.0,0.6666666666666666,4.0,3.0,0.4,2.0,2.0,0.8,3.0,2.0,0.6666666666666666,4.0,3.0,29,高孝儀,林宗男,胡金龍,林益全,李那瑞,張建銘,陳凱倫,方克偉,林威廷,詹智堯,林智平,林智勝,林泓育,陳冠任,郭嚴文,郭修延,藍寅倫,黃浩然,林晨樺,許銘傑,0,0,0,9,20,3,5,23,0,9,23,0,5,23,2,2,19,0,5,22,1,0,4,0,7,18,3,8,23,1,5,22,0,9,22,5,6,19,1,5,20,2,11,19,1,4,12,0,4,9,2,5,15,4,0,0,0,13,29,4,21,67,2,18,65,7,18,63,5,15,59,5,17,62,6,7,21,4,16,47,7,21,62,3,12,47,1,25,60,10,19,57,8,9,37,5,18,47,4,5,20,0,8,22,4,11,37,7,6.0,4.5,2.4444444444444446,3.0,4.809160305343512,6.55,1.5267175572519085,2.7480916030534357,3.7058823529411766,5.666666666666668,1.7647058823529411,3.7058823529411766,4.809160305343512,6.55,1.5267175572519085,2.7480916030534357,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,19,1,2,12,4,3,12,3,7,17,3,3,7,0,7,17,3,1,5,1,0,0,0,0,6,2,0.19999999999999996,0.5,1.0,0.4,1.0,0.0,0.2777777777777778,0.2727272727272727,0.03076923076923077,0.352,0.3611111111111111,0.06896551724137931,108,44,125,36,0.3003533568904594,0.3076923076923077,0.09090909090909091,0.33548387096774196,0.3037974683544304,0.12056737588652482,283,130,310,79,,,0.32142857142857145,0.09090909090909091,,,0.16666666666666666,0.2727272727272727,1,1,1,1,0,0,0,0,0,0,1,0,0
1,0.7531689689228915,2,1.4486242767853252,31,桃園,2014-04-12,17:04,義大,3,Lamigo,5,Lamigo,2014,1,2,0.4,4.0,3.5,0.7,4.0,3.0,0.75,4.5,4.0,0.4,3.0,5.0,0.8,3.0,2.0,0.75,4.5,4.0,31,高孝儀,林宗男,胡金龍,林益全,陽冠威,張建銘,方玄宗,方克偉,林威廷,詹智堯,林智平,林智勝,林泓育,郭嚴文,藍寅倫,鍾承祐,陳雁風,黃浩然,偉克,王溢正,1,5,0,10,25,3,6,24,1,11,23,2,0,0,0,3,19,0,0,1,0,1,8,0,7,18,3,8,21,1,5,21,1,9,21,4,4,18,1,10,19,7,5,11,2,3,10,0,1,11,1,5,16,4,1,5,0,14,34,4,22,72,3,20,69,9,0,0,0,16,63,5,0,1,0,8,25,4,17,50,7,23,66,3,13,52,2,28,65,10,20,61,9,21,51,10,10,26,5,11,40,3,1,12,1,12,41,7,3.333333333333333,4.05,0.8641975308641976,8.888888888888891,0.75,6.0,0.9166666666666666,4.5,2.0610687022900764,4.366666666666666,0.9923664122137404,8.244274809160306,0.75,6.0,0.9166666666666666,4.5,0,0,0,2,3,1,2,3,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,1,3,0,1,3,0,2,3,0,0,3,1,1,2,0,0,0,0,0,2,1,0,0,0,1,2,1,0.29999999999999993,0.0,-0.5,0.4,0.0,-3.0,0.3229166666666667,0.2962962962962963,0.047619047619047616,0.36936936936936937,0.24324324324324326,0.20833333333333334,96,27,111,37,0.3004115226337449,0.32894736842105265,0.10606060606060606,0.3582554517133956,0.25806451612903225,0.17391304347826086,243,76,321,93,0.4444444444444444,,0.35714285714285715,0.25,0.2222222222222222,,0.07142857142857142,0.5,1,0,1,1,1,0,0,0,0,0,1,1,0
