NM,DATE(GAME),OPP,PITCHER,DEC,IP,BF,NP,H,HR,SO,R,ER,BB,IBB,HBP,AO,GO,ERA,CG,SHO,NBB,BS,NP2,S,SB,WP,BK,PO,A,DP,TP,E,PK,Unnamed: 34,DATE,GAME,WHIP
鄭凱文,04/12(3),統一7-ELEVEn,中繼,"
															敗
															
						",0.33333300000000005,4.0,10.0,3,0,0,3,3,0,0.0,0.0,0.0,1.0,81.00,0.0,0.0,0.0,0.0,10.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,2020-04-12,3,
黃竣彥,04/12(3),中信兄弟,中繼,"
																								中繼成功
															
															
						",2.0,5.0,19.0,0,0,3,0,0,0,0.0,0.0,0.0,2.0,0.00,0.0,0.0,0.0,0.0,19.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,2020-04-12,3,
王玉譜,04/12(3),中信兄弟,中繼,"
																								中繼成功
															
															
						",0.33333300000000005,2.0,17.0,0,0,0,0,0,2,0.0,0.0,0.0,0.0,0.00,0.0,0.0,0.0,0.0,17.0,6.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,2020-04-12,3,
鄭鈞仁,04/12(3),中信兄弟,中繼,"
																								中繼成功
															
															
						",0.6666660000000001,5.0,21.0,0,0,1,0,0,2,1.0,0.0,0.0,1.0,0.00,0.0,0.0,0.0,0.0,21.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,2020-04-12,3,
蔡齊哲,04/12(3),統一7-ELEVEn,中繼,"
																								中繼成功
															
															
						",1.6666659999999998,7.0,36.0,1,0,2,0,0,1,0.0,0.0,2.0,1.0,0.00,0.0,0.0,0.0,0.0,36.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,2020-04-12,3,
陳韻文,04/12(3),中信兄弟,中繼,"
															勝
															
						",1.3333330000000003,7.0,25.0,1,0,1,0,0,1,1.0,0.0,2.0,1.0,0.00,0.0,0.0,0.0,0.0,25.0,14.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,2020-04-12,3,
費爾本,04/12(3),中信兄弟,先發,"
																								無
															
															
						",5.333332999999999,21.0,78.0,4,1,4,1,1,2,0.0,0.0,7.0,4.0,1.69,0.0,0.0,0.0,0.0,78.0,49.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,2020-04-12,3,
李振昌,04/12(3),統一7-ELEVEn,中繼,"
																								中繼成功
															
															
						",2.0,8.0,33.0,1,0,5,0,0,1,0.0,0.0,1.0,0.0,0.00,0.0,0.0,0.0,0.0,33.0,22.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,2020-04-12,3,
吳俊偉,04/12(3),統一7-ELEVEn,中繼,"
																								中繼成功
															
															
						",1.3333330000000003,4.0,23.0,0,0,4,0,0,0,0.0,0.0,0.0,0.0,0.00,0.0,0.0,0.0,0.0,23.0,13.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,2020-04-12,3,
米蘭達,04/12(3),統一7-ELEVEn,先發,"
																								無
															
															
						",5.0,23.0,103.0,3,1,7,1,1,4,0.0,0.0,5.0,4.0,1.80,0.0,0.0,0.0,0.0,103.0,63.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,2020-04-12,3,
林航,04/12(3),中信兄弟,後援,"
																								救援成功
															
															
						",1.0,4.0,16.0,1,0,0,0,0,0,0.0,0.0,1.0,2.0,0.00,0.0,0.0,0.0,0.0,16.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,2020-04-12,3,
劉軒荅,04/12(3),中信兄弟,中繼,"
																								中繼成功
															
															
						",0.33333300000000005,2.0,11.0,0,0,0,0,0,1,0.0,0.0,0.0,1.0,0.00,0.0,0.0,0.0,0.0,11.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,2020-04-12,3,
彭識穎,04/12(3),統一7-ELEVEn,後援,"
																								無
															
															
						",0.6666660000000001,3.0,10.0,1,0,0,0,0,0,0.0,0.0,1.0,1.0,0.00,0.0,0.0,0.0,0.0,10.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,2020-04-12,3,
